service_id,date,exception_type
GNE:GONO889:889:S89MF250511:O:1,20250623,1
GNE:GONO889:889:S89MF250511:O:1,20250624,1
GNE:GONO889:889:S89MF250511:O:1,20250625,1
GNE:GONO889:889:S89MF250511:O:1,20250626,1
GNE:GONO889:889:S89MF250511:O:1,20250627,1
GNE:GONO889:889:S89MF250511:O:1,20250630,1
GNE:GONO889:889:S89MF250511:O:1,20250701,1
GNE:GONO889:889:S89MF250511:O:1,20250702,1
GNE:GONO889:889:S89MF250511:O:1,20250703,1
GNE:GONO889:889:S89MF250511:O:1,20250704,1
GNE:GONO889:889:S89MF250511:O:1,20250707,1
GNE:GONO889:889:S89MF250511:O:1,20250708,1
GNE:GONO889:889:S89MF250511:O:1,20250709,1
GNE:GONO889:889:S89MF250511:O:1,20250710,1
GNE:GONO889:889:S89MF250511:O:1,20250711,1
GNE:GONO889:889:S89MF250511:O:1,20250714,1
GNE:GONO889:889:S89MF250511:O:1,20250715,1
GNE:GONO889:889:S89MF250511:O:1,20250716,1
GNE:GONO889:889:S89MF250511:O:1,20250717,1
GNE:GONO889:889:S89MF250511:O:1,20250718,1
GNE:GONO889:889:S89MF250511:O:1,20250901,1
GNE:GONO889:889:S89MF250511:O:1,20250902,1
GNE:GONO889:889:S89MF250511:O:1,20250903,1
GNE:GONO889:889:S89MF250511:O:1,20250904,1
GNE:GONO889:889:S89MF250511:O:1,20250905,1
GNE:GONO889:889:S89MF250511:O:1,20250908,1
GNE:GONO889:889:S89MF250511:O:1,20250909,1
GNE:GONO889:889:S89MF250511:O:1,20250910,1
GNE:GONO889:889:S89MF250511:O:1,20250911,1
GNE:GONO889:889:S89MF250511:O:1,20250912,1
GNE:GONO889:889:S89MF250511:O:1,20250915,1
GNE:GONO889:889:S89MF250511:O:1,20250916,1
GNE:GONO889:889:S89MF250511:O:1,20250917,1
GNE:GONO889:889:S89MF250511:O:1,20250918,1
GNE:GONO889:889:S89MF250511:O:1,20250919,1
GNE:GONO889:889:S89MF250511:O:1,20250922,1
GNE:GONO889:889:S89MF250511:O:1,20250923,1
GNE:GONO889:889:S89MF250511:O:1,20250924,1
GNE:GONO889:889:S89MF250511:O:1,20250925,1
GNE:GONO889:889:S89MF250511:O:1,20250926,1
GNE:GONO889:889:S89MF250511:O:1,20250929,1
GNE:GONO889:889:S89MF250511:O:1,20250930,1
GNE:GONO889:889:S89MF250511:O:1,20251001,1
GNE:GONO889:889:S89MF250511:O:1,20251002,1
GNE:GONO889:889:S89MF250511:O:1,20251003,1
